Date,open,high,low,close,Adj Close,Volume
2015-10-19,8262.55,8283.05,8239.2,8275.05,8275.05,124500
2015-10-20,8280.3,8294.05,8229.2,8261.65,8261.65,155100
2015-10-21,8258.35,8294.4,8217.15,8251.7,8251.7,144800
2015-10-23,8308.25,8328.1,8280.75,8295.45,8295.45,152000
2015-10-26,8333.65,8336.3,8252.05,8260.55,8260.55,133900
2015-10-27,8230.35,8241.95,8217.05,8232.9,8232.9,156700
2015-10-28,8188.9,8209.1,8131.8,8171.2,8171.2,188900
2015-10-29,8175.45,8179.6,8098,8111.75,8111.75,217500
2015-10-30,8123.55,8146.1,8044.4,8065.8,8065.8,199500
2015-11-02,8054.55,8060.7,7995.6,8050.8,8050.8,136100
2015-11-03,8086.35,8100.35,8031.75,8060.7,8060.7,132500
2015-11-04,8104.9,8116.1,8027.3,8040.2,8040.2,122100
2015-11-05,8030.35,8031.2,7944.1,7955.45,7955.45,132100
2015-11-06,7956.55,8002.65,7926.15,7954.3,7954.3,219500
2015-11-09,7788.25,7937.75,7771.7,7915.2,7915.2,211800
2015-11-10,7877.6,7885.1,7772.85,7783.35,7783.35,165200
2015-11-13,7762.45,7775.1,7730.9,7762.25,7762.25,160900
2015-11-16,7732.95,7838.85,7714.15,7806.6,7806.6,149500
2015-11-17,7848.75,7860.45,7793,7837.55,7837.55,145000
2015-11-18,7823.15,7843.4,7725.05,7731.8,7731.8,143600
2015-11-19,7788.5,7854.9,7765.45,7842.75,7842.75,132600
2015-11-20,7841.9,7906.95,7817.8,7856.55,7856.55,151900
2015-11-23,7869.5,7877.5,7825.2,7849.25,7849.25,127000
2015-11-24,7837,7870.35,7812.65,7831.6,7831.6,130600
2015-11-26,7837.15,7897.1,7832,7883.8,7883.8,219800
2015-11-27,7910.6,7959.3,7879.45,7942.7,7942.7,150300
2015-11-30,7936.25,7966,7922.8,7935.25,7935.25,216300
2015-12-01,7958.15,7972.15,7934.15,7954.9,7954.9,138600
2015-12-02,7976.7,7979.3,7910.8,7931.35,7931.35,126300
2015-12-03,7902.3,7912.3,7853.3,7864.15,7864.15,125700
2015-12-04,7817.6,7821.4,7775.7,7781.9,7781.9,152500
2015-12-07,7816.55,7825.4,7746.05,7765.4,7765.4,137600
2015-12-08,7738.5,7771.25,7685.45,7701.7,7701.7,135100
2015-12-09,7695.5,7702.85,7606.9,7612.5,7612.5,140000
2015-12-10,7643.3,7691.95,7610,7683.3,7683.3,140800
2015-12-11,7699.6,7703.05,7575.3,7610.45,7610.45,167800
2015-12-14,7558.2,7663.95,7551.05,7650.05,7650.05,148900
2015-12-15,7659.15,7705,7625.1,7700.9,7700.9,134300
2015-12-16,7725.25,7776.6,7715.75,7750.9,7750.9,154300
2015-12-17,7783.05,7852.9,7737.55,7844.35,7844.35,175900
2015-12-18,7828.9,7836.15,7753.35,7761.95,7761.95,191400
2015-12-21,7745.65,7840.75,7733.45,7834.45,7834.45,126300
2015-12-22,7829.4,7846.3,7776.85,7786.1,7786.1,125700
2015-12-23,7830.45,7871.45,7826.1,7865.95,7865.95,117900
2015-12-24,7888.75,7888.75,7835.5,7861.05,7861.05,93500
2015-12-28,7863.2,7937.2,7863,7925.15,7925.15,122900
2015-12-29,7929.2,7942.15,7902.75,7928.95,7928.95,113000
2015-12-30,7938.6,7944.75,7889.85,7896.25,7896.25,106800
2015-12-31,7897.8,7955.55,7891.15,7946.35,7946.35,150900
2016-01-04,7924.55,7937.55,7781.1,7791.3,7791.3,134700
2016-01-05,7828.4,7831.2,7763.25,7784.65,7784.65,145200
2016-01-06,7788.05,7800.95,7721.2,7741,7741,147100
2016-01-07,7673.35,7674.95,7556.6,7568.3,7568.3,188900
2016-01-08,7611.65,7634.1,7581.05,7601.35,7601.35,157400
2016-01-11,7527.45,7605.1,7494.35,7563.85,7563.85,189000
2016-01-12,7587.2,7588.3,7487.8,7510.3,7510.3,163900
2016-01-13,7557.9,7590.95,7425.8,7562.4,7562.4,215200
2016-01-14,7467.4,7604.8,7443.8,7536.8,7536.8,200800
2016-01-15,7561.65,7566.5,7427.3,7437.8,7437.8,197500
2016-01-18,7420.35,7463.65,7336.4,7351,7351,233600
2016-01-19,7381.8,7462.75,7364.15,7435.1,7435.1,188300
2016-01-20,7357,7470.9,7241.5,7309.3,7309.3,225600
2016-01-21,7376.65,7398.7,7250,7276.8,7276.8,240700
2016-01-22,7355.7,7433.4,7327.6,7422.45,7422.45,229200
2016-01-25,7468.75,7487.15,7421.2,7436.15,7436.15,163200
2016-01-27,7469.6,7477.9,7419.7,7437.75,7437.75,187600
2016-01-28,7426.5,7468.85,7409.6,7424.65,7424.65,274500
2016-01-29,7413.35,7575.65,7402.8,7563.55,7563.55,298700
2016-02-01,7589.5,7600.45,7541.25,7555.95,7555.95,200400
2016-02-02,7566.65,7576.3,7428.05,7455.55,7455.55,230200
2016-02-03,7392.45,7419.4,7350.3,7361.8,7361.8,192000
2016-02-04,7411.45,7457.05,7365.95,7404,7404,222700
2016-02-05,7418.25,7503.15,7406.65,7489.1,7489.1,249800
2016-02-08,7489.7,7512.55,7363.2,7387.25,7387.25,171500
2016-02-09,7303.95,7323.45,7275.15,7298.2,7298.2,212100
2016-02-10,7264.3,7271.85,7177.75,7215.7,7215.7,246900
2016-02-11,7203.6,7208.65,6959.95,6976.35,6976.35,292300
2016-02-12,7023.65,7034.8,6869,6980.95,6980.95,333900
2016-02-15,7057.35,7182.8,7056.8,7162.95,7162.95,354200
2016-02-16,7201.25,7204.65,7037.7,7048.25,7048.25,253800
2016-02-17,7058.85,7123.7,6960.65,7108.45,7108.45,260000
2016-02-18,7177.4,7215.1,7127.85,7191.75,7191.75,246700
2016-02-19,7170.55,7226.85,7145.95,7210.75,7210.75,192300
2016-02-22,7208.85,7252.4,7200.7,7234.55,7234.55,154400
2016-02-23,7240.3,7241.7,7090.7,7109.55,7109.55,194400
2016-02-24,7075,7090.8,7009.75,7018.7,7018.7,199700
2016-02-25,7029.85,7034.2,6961.4,6970.6,6970.6,283100
2016-02-26,7039.3,7052.9,6985.1,7029.75,7029.75,206700
2016-02-29,7050.45,7094.6,6825.8,6987.05,6987.05,473400
2016-03-01,7038.25,7235.5,7035.1,7222.3,7222.3,275100
2016-03-02,7321.7,7380.35,7308.15,7368.85,7368.85,338500
2016-03-03,7429.55,7483.95,7406.05,7475.6,7475.6,278600
2016-03-04,7505.4,7505.9,7444.1,7485.35,7485.35,281700
2016-03-08,7486.4,7527.15,7442.15,7485.3,7485.3,257000
2016-03-09,7436.1,7539,7424.3,7531.8,7531.8,245100
2016-03-10,7545.35,7547.1,7447.4,7486.15,7486.15,224700
2016-03-11,7484.85,7543.95,7460.6,7510.2,7510.2,198700
2016-03-14,7542.6,7583.7,7515.05,7538.75,7538.75,166900
2016-03-15,7535.85,7545.2,7452.8,7460.6,7460.6,193700
