DatetimeIndex,open,high,low,close
2018-02-05,10604.30,10702.75,10586.80,10666.55
2018-02-06,10295.15,10594.15,10276.30,10498.25
2018-02-07,10607.20,10614.00,10446.40,10476.70
2018-02-08,10518.50,10637.80,10479.55,10576.85
2018-02-09,10416.50,10480.20,10398.20,10454.95
2018-02-12,10518.20,10555.50,10485.40,10539.75
2018-02-14,10585.75,10590.55,10456.65,10500.90
2018-02-15,10537.90,10618.10,10511.05,10545.50
2018-02-16,10596.20,10612.90,10434.05,10452.30
2018-02-19,10488.90,10489.35,10302.75,10378.40
2018-02-20,10391.00,10429.35,10347.65,10360.40
2018-02-21,10426.00,10426.10,10349.60,10397.45
2018-02-22,10354.35,10397.55,10340.65,10382.70
2018-02-23,10408.10,10499.10,10396.65,10491.05
2018-02-26,10526.55,10592.95,10520.20,10582.60
2018-02-27,10615.20,10631.65,10537.25,10554.30
2018-02-28,10488.95,10535.50,10461.55,10492.85
2018-03-01,10479.95,10525.50,10447.15,10458.35
2018-03-05,10428.30,10428.70,10323.90,10358.85
2018-03-06,10420.50,10441.35,10215.90,10249.25
2018-03-07,10232.95,10243.35,10141.55,10154.20
2018-03-08,10216.25,10270.35,10146.40,10242.65
2018-03-09,10271.30,10296.70,10211.90,10226.85
2018-03-12,10301.60,10433.65,10295.45,10421.40
2018-03-13,10389.50,10478.60,10377.85,10426.85
2018-03-14,10393.05,10420.35,10336.30,10410.90
2018-03-15,10405.45,10420.00,10346.20,10360.15
2018-03-16,10345.15,10346.30,10180.25,10195.15
2018-03-19,10215.35,10224.55,10075.30,10094.25
2018-03-20,10051.55,10155.65,10049.10,10124.35
2018-03-21,10181.95,10227.30,10132.95,10155.25
2018-03-22,10167.50,10207.85,10105.40,10114.75
2018-03-23,9968.80,10027.70,9951.90,9998.05
2018-03-26,9989.15,10143.50,9958.55,10130.65
2018-03-27,10188.00,10207.90,10139.65,10184.15
2018-03-28,10143.60,10158.35,10096.90,10113.70
2018-04-02,10151.65,10220.10,10127.75,10211.80
2018-04-03,10186.85,10255.35,10171.05,10245.00
2018-04-04,10274.60,10279.85,10111.30,10128.40
2018-04-05,10228.45,10331.80,10227.45,10325.15
2018-04-06,10322.75,10350.45,10290.85,10331.60
2018-04-09,10333.70,10397.70,10328.50,10379.35
2018-04-10,10412.90,10424.85,10381.50,10402.25
2018-04-11,10428.15,10428.15,10355.60,10417.15
2018-04-12,10410.65,10469.90,10395.25,10458.65
2018-04-13,10495.30,10519.90,10451.45,10480.60
2018-04-16,10398.30,10540.15,10396.35,10528.35
2018-04-17,10557.30,10560.45,10495.65,10548.70
2018-04-18,10578.90,10594.20,10509.70,10526.20
2018-04-19,10563.65,10572.20,10546.20,10565.30
2018-04-20,10560.35,10582.35,10527.45,10564.05
2018-04-23,10592.80,10638.35,10514.95,10584.70
2018-04-24,10578.10,10636.80,10569.00,10614.35
2018-04-25,10612.40,10612.60,10536.45,10570.55
2018-04-26,10586.50,10628.40,10559.65,10617.80
2018-04-27,10651.65,10719.80,10647.55,10692.30
2018-04-30,10705.75,10759.00,10704.60,10739.35
2018-05-02,10783.85,10784.65,10689.80,10718.05
2018-05-03,10720.15,10720.60,10647.45,10679.65
2018-05-04,10700.45,10700.45,10601.60,10618.25
2018-05-07,10653.15,10725.65,10635.65,10715.50
2018-05-08,10757.90,10758.55,10689.40,10717.80
2018-05-09,10693.35,10766.25,10689.85,10741.70
2018-05-10,10779.65,10785.55,10705.00,10716.55
2018-05-11,10741.95,10812.05,10724.45,10806.50
2018-05-14,10815.15,10834.85,10774.75,10806.60
2018-05-15,10812.60,10929.20,10781.40,10801.85
2018-05-16,10751.95,10790.45,10699.70,10741.10
2018-05-17,10775.60,10777.25,10664.50,10682.70
2018-05-18,10671.85,10674.95,10589.10,10596.40
2018-05-21,10616.70,10621.70,10505.80,10516.70
2018-05-22,10518.45,10558.60,10490.55,10536.70
2018-05-23,10521.10,10533.55,10417.80,10430.35
2018-05-24,10464.85,10535.15,10419.80,10513.85
2018-05-25,10533.05,10628.05,10524.00,10605.15
2018-05-28,10648.35,10709.80,10640.55,10688.65
2018-05-29,10689.40,10717.25,10616.10,10633.30
2018-05-30,10579.00,10648.70,10558.45,10614.35
2018-05-31,10670.10,10763.80,10620.40,10736.15
2018-06-01,10738.45,10764.75,10681.50,10696.20
2018-06-04,10765.95,10770.30,10618.35,10628.50
2018-06-05,10630.70,10633.15,10550.90,10593.15
2018-06-06,10603.45,10698.35,10587.50,10684.65
2018-06-07,10722.60,10818.00,10722.60,10768.35
2018-06-08,10736.40,10779.45,10709.05,10767.65
2018-06-11,10781.85,10850.55,10777.05,10786.95
2018-06-12,10816.15,10856.55,10789.40,10842.85
2018-06-13,10887.50,10893.25,10842.65,10856.70
2018-06-14,10832.90,10833.70,10773.55,10808.05
2018-06-15,10808.65,10834.00,10755.40,10817.70
2018-06-18,10830.20,10830.20,10787.35,10799.85
2018-06-19,10789.45,10789.45,10701.20,10710.45
2018-06-20,10734.65,10781.80,10724.05,10772.05
